Modern Toponym,Ancient Toponym,Country,Longitude (X),Latitude (Y)
,,Syria,38.54423941961137,35.012614281129
,,Italy,12.140788372235871,42.751183052964265
,,Spain,-3.6170206023873743,40.348656106226734
,,Cyprus,33.03955380295407,34.90706085094344
,,Libya,17.974352779160352,26.997460407020338
,,Lebanon,35.87098632001643,33.91182720781994
,,Jordan,36.77945490632519,31.245490584748417
,,Egypt,29.844461513124415,26.50661999974957
,,Israel,35.003851206429005,31.4849193900197
,,Greece,22.719813447095053,39.066715899713955
,,Germany,10.288485092742851,51.13372269040778
